codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
13,Metropolitana de Santiago,13104,Conchalí,121587,40890,38978,59122,62465,20108,25378,25719,31134,19248,2.9735,0.9532,Norte,37714,1264,0,3.1194,51.3747,48.6253,15.8306,16.538,CONCHALI
13,Metropolitana de Santiago,13105,El Bosque,155257,50477,50573,75720,79537,27509,33672,32530,37510,24036,3.0758,1.0019,Sur,49136,1437,0,3.07,51.2293,48.7707,15.4814,17.7184,EL BOSQUE
13,Metropolitana de Santiago,13106,Estación Central,181049,68183,76453,88630,92419,31175,43617,50080,36886,19291,2.6553,1.1213,Centro,68989,7464,0,2.3681,51.0464,48.9536,10.6551,17.2191,ESTACION CENTRAL
13,Metropolitana de Santiago,13107,Huechuraba,101808,32057,31189,49479,52329,19459,22400,21437,27054,11458,3.1758,0.9729,Norte,30315,874,0,3.2642,51.3997,48.6003,11.2545,19.1134,HUECHURABA
13,Metropolitana de Santiago,13108,Independencia,116943,45569,50466,56916,60027,20475,26664,32854,24111,12839,2.5663,1.1075,Centro,45882,4584,0,2.3173,51.3301,48.6699,10.9789,17.5085,INDEPENDENCIA
13,Metropolitana de Santiago,13109,La Cisterna,103157,38159,41697,49154,54003,17137,22708,26066,22470,14776,2.7033,1.0927,Sur,38442,3255,0,2.474,52.3503,47.6497,14.3238,16.6125,LA CISTERNA
13,Metropolitana de Santiago,13110,La Florida,374836,133971,143924,178461,196375,58762,78079,86944,90304,60747,2.7979,1.0743,Oriente,134657,9267,0,2.6044,52.3896,47.6104,16.2063,15.6767,LA FLORIDA
13,Metropolitana de Santiago,13111,La Granja,112022,37274,36842,54758,57264,18992,23696,23580,27473,18281,3.0054,0.9884,Sur,36079,763,0,3.0406,51.1185,48.8815,16.3191,16.9538,LA GRANJA
13,Metropolitana de Santiago,13112,La Pintana,175421,54319,53379,85240,90181,35740,40206,37097,40077,22301,3.2295,0.9827,Sur,52089,1290,0,3.2863,51.4083,48.5917,12.7128,20.3738,LA PINTANA
13,Metropolitana de Santiago,13113,La Reina,89870,30645,31667,42260,47610,14657,17150,18179,23788,16096,2.9326,1.0333,Oriente,30552,1115,0,2.838,52.9765,47.0235,17.9103,16.3091,LA REINA
13,Metropolitana de Santiago,13114,Las Condes,296134,116322,129083,137984,158150,41831,61082,68540,70998,53683,2.5458,1.1097,Oriente,121263,7820,0,2.2941,53.4049,46.5951,18.1279,14.1257,LAS CONDES
13,Metropolitana de Santiago,13115,Lo Barnechea,112620,32513,36425,53609,59011,22642,26333,20521,30299,12825,3.4638,1.1203,Oriente,33535,2890,0,3.0918,52.3983,47.6017,11.3879,20.1048,LO BARNECHEA
13,Metropolitana de Santiago,13116,Lo Espejo,87295,27529,27488,43095,44200,15405,18379,17970,21940,13601,3.171,0.9985,Sur,26649,839,0,3.1757,50.6329,49.3671,15.5805,17.6471,LO ESPEJO
13,Metropolitana de Santiago,13117,Lo Prado,91290,31971,31111,44300,46990,14324,19227,18538,24107,15094,2.8554,0.9731,Poniente,30214,897,0,2.9343,51.4733,48.5267,16.5341,15.6907,LO PRADO
13,Metropolitana de Santiago,13118,Macul,123800,47638,50777,58479,65321,17981,24778,31612,29503,19926,2.5988,1.0659,Oriente,48631,2146,0,2.4381,52.7633,47.2367,16.0953,14.5242,MACUL
13,Metropolitana de Santiago,13119,Maipú,503635,167650,169599,240903,262732,80972,109788,107847,133901,71127,3.0041,1.0116,Poniente,165847,3752,0,2.9696,52.1671,47.8329,14.1227,16.0775,MAIPU
13,Metropolitana de Santiago,13120,Ñuñoa,241467,108724,121593,111613,129854,31138,44354,76758,53437,35780,2.2209,1.1184,Oriente,113378,8215,0,1.9859,53.7771,46.2229,14.8178,12.8953,NUNOA
13,Metropolitana de Santiago,13121,Pedro Aguirre Cerda,96062,32556,31255,47073,48989,15423,19041,19897,24145,17556,2.9507,0.96,Centro,30353,902,0,3.0735,50.9973,49.0027,18.2757,16.0553,PEDRO AGUIRRE CERDA
13,Metropolitana de Santiago,13122,Peñalolén,236478,76321,75730,114260,122218,40122,52505,48424,63872,31555,3.0985,0.9923,Oriente,74090,1640,0,3.1226,51.6826,48.3174,13.3437,16.9665,PENALOLEN
13,Metropolitana de Santiago,13123,Providencia,143974,69431,76650,67329,76645,17123,26722,45167,31857,23105,2.0736,1.104,Oriente,70107,6543,0,1.8783,53.2353,46.7647,16.048,11.8931,PROVIDENCIA
13,Metropolitana de Santiago,13124,Pudahuel,227820,74288,73844,109673,118147,40541,50007,49679,59780,27813,3.0667,0.994,Poniente,72268,1576,0,3.0852,51.8598,48.1402,12.2083,17.7952,PUDAHUEL
13,Metropolitana de Santiago,13125,Quilicura,205624,65227,67154,99649,105975,39177,49189,45572,53702,17984,3.1524,1.0295,Norte,64965,2189,0,3.062,51.5382,48.4618,8.7461,19.0527,QUILICURA
13,Metropolitana de Santiago,13126,Quinta Normal,129351,45855,46939,63130,66221,22064,28214,31755,30174,17144,2.8209,1.0236,Centro,45008,1931,0,2.7557,51.1948,48.8052,13.2539,17.0575,QUINTA NORMAL
13,Metropolitana de Santiago,13127,Recoleta,154615,56276,56548,76020,78595,25486,32897,35713,37927,22592,2.7474,1.0048,Centro,53386,3162,0,2.7342,50.8327,49.1673,14.6118,16.4835,RECOLETA
13,Metropolitana de Santiago,13128,Renca,143622,46588,46640,69985,73637,27703,31893,31074,34564,18388,3.0828,1.0011,Norte,45192,1448,0,3.0794,51.2714,48.7286,12.8031,19.2888,RENCA
13,Metropolitana de Santiago,13129,San Joaquín,95602,33568,33947,45983,49619,14852,20362,21388,23207,15793,2.848,1.0113,Centro,32567,1380,0,2.8162,51.9016,48.0984,16.5195,15.5352,SAN JOAQUIN
13,Metropolitana de Santiago,13130,San Miguel,150829,60402,65936,71229,79600,23562,31197,47386,31361,17323,2.4971,1.0916,Centro,62266,3670,0,2.2875,52.775,47.225,11.4852,15.6217,SAN MIGUEL
13,Metropolitana de Santiago,13131,San Ramón,76002,25014,23863,37417,38585,12491,16254,14746,19780,12731,3.0384,0.954,Centro,23204,659,0,3.1849,50.7684,49.2316,16.7509,16.4351,SAN RAMON
13,Metropolitana de Santiago,13132,Vitacura,86420,31142,34551,39914,46506,15015,16164,17897,20717,16627,2.775,1.1095,Oriente,32658,1893,0,2.5012,53.8139,46.1861,19.2398,17.3745,VITACURA
13,Metropolitana de Santiago,13201,Puente Alto,568086,183615,191064,273928,294158,104301,126320,126232,144627,66606,3.0939,1.0406,Sur,185864,5200,0,2.9733,51.7805,48.2195,11.7246,18.3601,PUENTE ALTO
13,Metropolitana de Santiago,13202,Pirque,29060,9195,10193,14399,14661,5449,5792,6107,7718,3994,3.1604,1.1085,Sur,9677,516,0,2.851,50.4508,49.5492,13.744,18.7509,PIRQUE
13,Metropolitana de Santiago,13203,San José de Maipo,17441,6383,8032,8674,8767,2932,3452,3680,4616,2761,2.7324,1.2583,Sur,6766,1266,0,2.1714,50.2666,49.7334,15.8305,16.811,SAN JOSE DE MAIPO
13,Metropolitana de Santiago,13301,Colina,173293,51045,54882,86925,86368,41206,36111,43036,39694,13246,3.3949,1.0752,Norte,52278,2604,0,3.1576,49.8393,50.1607,7.6437,23.7782,COLINA
13,Metropolitana de Santiago,13302,Lampa,145160,45519,50344,72328,72832,35062,30874,39653,29830,9741,3.189,1.106,Norte,47152,3192,0,2.8834,50.1736,49.8264,6.7105,24.154,LAMPA
13,Metropolitana de Santiago,13303,Tiltil,19742,6592,8236,9940,9802,3901,4064,4397,4673,2707,2.9948,1.2494,Norte,7010,1226,0,2.397,49.6505,50.3495,13.7119,19.7599,TILTIL
13,Metropolitana de Santiago,13401,San Bernardo,306371,99053,102678,148696,157675,60805,69351,69173,72358,34684,3.093,1.0366,Sur,99287,3391,0,2.9838,51.4654,48.5346,11.3209,19.8469,SAN BERNARDO
13,Metropolitana de Santiago,13402,Buin,116969,37708,42526,56564,60405,24919,22976,31015,25932,12127,3.102,1.1278,Sur,39777,2749,0,2.7505,51.6419,48.3581,10.3677,21.3039,BUIN
13,Metropolitana de Santiago,13403,Calera De Tango,25491,7859,8406,12607,12884,4593,5386,5264,6813,3435,3.2435,1.0696,Sur,8140,266,0,3.0325,50.5433,49.4567,13.4753,18.0181,CALERA DE TANGO
13,Metropolitana de Santiago,13404,Paine,78828,25952,30877,38873,39955,15339,16631,17464,19316,10078,3.0375,1.1898,Sur,27634,3243,0,2.553,50.6863,49.3137,12.7848,19.4588,PAINE
13,Metropolitana de Santiago,13501,Melipilla,136325,46619,52376,66759,69566,26419,28414,30095,32086,19311,2.9242,1.1235,Poniente,47598,4778,0,2.6028,51.0295,48.9705,14.1654,19.3794,MELIPILLA
